amount,hour_of_day,is_weekend,receiver_account_age_days,receiver_report_count,receiver_tx_count_24h,receiver_unique_senders_24h,previous_connections_count,avg_transaction_amount_7d,amount_deviation,velocity_ratio,is_first_interaction,is_fraud
3234.61,9,0,385,0,3,3,11,1062.64,3.0411,0.75,0,0
13326.99,22,0,522,0,30,23,3,11857.86,1.1238,0.7419,0,0
731.76,8,0,141,1,10,7,1,1315.28,0.5559,0.6364,0,1
2589.23,12,0,493,1,8,0,21,1101.91,2.3476,0.0,0,0
5021.09,19,0,257,0,9,6,0,1477.01,3.3972,0.6,1,0
4.13,3,0,26,4,27,14,3,30.85,0.1297,0.5,0,1
219.76,17,0,355,0,3,5,22,1087.68,0.2019,1.25,0,0
1951.28,11,0,223,1,11,2,19,754.71,2.582,0.1667,0,0
6726.71,9,0,214,0,15,2,1,775.54,8.6624,0.125,0,1
12367.87,8,0,818,0,10,9,1,8712.93,1.4193,0.8182,0,0
1407.85,10,0,532,0,5,7,12,1282.99,1.0965,1.1667,0,0
2759.29,14,0,255,1,11,0,29,758.08,3.635,0.0,0,0
693.63,9,0,138,0,12,12,9,691.67,1.0014,0.9231,0,0
4919.56,6,1,194,2,9,7,12,797.85,6.1583,0.7,0,0
2713.94,17,0,425,0,7,0,15,310.19,8.7212,0.0,0,0
2307.7,9,0,317,0,25,13,7,374.33,6.1485,0.5,0,0
1622.08,20,1,9,0,50,10,4,723.77,2.2381,0.1961,0,1
7383.85,15,0,680,0,17,13,3,4488.69,1.6446,0.7222,0,0
9008.4,16,0,1257,0,18,20,1,11923.02,0.7555,1.0526,0,0
3808.25,7,0,763,0,27,11,2,6768.42,0.5626,0.3929,0,0
1971.87,12,0,306,0,5,0,24,1749.01,1.1268,0.0,0,0
3975.77,9,1,899,0,5,8,0,2379.0,1.6705,1.3333,1,0
47171.71,23,1,368,3,4,7,5,45.61,1012.0513,1.4,0,1
4614.09,23,1,496,0,33,19,1,7256.14,0.6358,0.5588,0,0
992.13,8,0,277,0,19,11,18,1662.93,0.5963,0.55,0,0
2571.65,14,0,524,0,12,11,7,620.99,4.1346,0.8462,0,0
497.61,9,0,959,0,5,6,0,356.08,1.3936,1.0,1,0
1435.42,22,1,153,0,10,17,10,736.79,1.9456,1.5455,0,0
2099.91,12,0,397,0,20,14,10,697.76,3.0052,0.6667,0,0
238.06,8,0,451,0,14,10,5,1778.75,0.1338,0.6667,0,0
3077.52,6,1,136,2,8,8,4,1045.56,2.9406,0.8889,0,1
46104.27,3,0,729,1,19,3,4,1087.6,42.3519,0.15,0,1
1398.2,11,1,146,0,10,7,4,339.38,4.1078,0.6364,0,0
6896.48,11,0,395,3,14,13,0,72.0,94.4723,0.8667,1,1
2139.4,13,0,1255,0,31,20,1,9728.26,0.2199,0.625,0,0
1364.75,0,0,79,0,5,9,0,650.23,2.0956,1.5,1,1
4456.36,6,0,564,0,13,2,17,1418.17,3.1401,0.1429,0,0
990.4,17,1,475,0,39,15,1,1342.34,0.7373,0.375,0,0
2178.5,14,0,500,0,21,9,5,859.87,2.5306,0.4091,0,0
13167.22,16,1,1231,0,38,11,0,9933.16,1.3254,0.2821,1,0
4711.39,19,1,650,1,3,8,5,1880.05,2.5047,2.0,0,0
3150.61,17,0,254,0,11,11,17,1727.21,1.823,0.9167,0,0
3334.02,14,0,36,1,6,9,2,899.17,3.7038,1.2857,0,0
1907.86,11,0,131,0,23,15,19,1020.51,1.8677,0.625,0,0
1872.99,19,1,242,0,20,10,13,1879.99,0.9957,0.4762,0,0
728.61,22,0,378,0,10,4,0,51.43,13.8968,0.3636,1,0
2280.6,4,1,194,2,5,4,2,781.44,2.9147,0.6667,0,0
1930.52,10,0,67,1,10,8,17,474.39,4.0609,0.7273,0,0
9926.2,23,1,689,0,29,22,2,9929.14,0.9996,0.7333,0,0
1207.37,13,1,191,0,9,9,14,454.8,2.6489,0.9,0,0
1948.82,22,1,1231,0,37,24,1,4346.72,0.4482,0.6316,0,0
4911.22,15,0,144,0,12,11,6,1052.89,4.6601,0.8462,0,0
1900.64,17,1,2,3,44,17,0,322.18,5.8811,0.3778,1,1
3106.94,14,0,540,0,15,11,0,1012.87,3.0644,0.6875,1,0
10946.24,18,1,944,0,35,24,1,11551.61,0.9475,0.6667,0,0
12376.29,20,0,743,0,40,19,2,7415.82,1.6687,0.4634,0,0
2659.91,17,1,529,1,13,3,1,308.22,8.602,0.2143,0,0
339.4,15,0,107,0,9,8,15,2076.5,0.1634,0.8,0,0
2800.37,13,0,363,0,4,3,0,3647.82,0.7675,0.6,1,0
451.66,8,0,137,0,21,19,13,433.69,1.039,0.8636,0,0
2332.99,10,1,142,2,0,0,26,1942.96,1.2001,0.0,0,0
2572.91,10,1,483,1,11,2,25,1263.26,2.0351,0.1667,0,0
12817.05,12,0,1046,0,29,8,3,5284.81,2.4248,0.2667,0,0
4458.3,14,0,774,0,19,21,2,8218.22,0.5424,1.05,0,0
3521.86,9,1,185,1,9,1,2,1570.17,2.2416,0.1,0,0
7410.37,21,1,907,0,28,20,1,10882.88,0.6809,0.6897,0,0
2372.04,16,0,171,0,15,5,18,508.6,4.6547,0.3125,0,0
167.32,9,0,586,0,37,22,17,285.6,0.5838,0.5789,0,0
3855.49,11,0,503,0,14,4,0,2955.71,1.304,0.2667,1,0
607.33,14,0,104,0,8,7,0,895.38,0.6775,0.7778,1,1
2401.82,4,1,148,2,12,1,2,216.75,11.0302,0.0769,0,1
5322.15,18,0,254,0,14,2,28,48.95,106.5495,0.1333,0,0
9247.96,22,0,226,1,14,7,4,866.48,10.6607,0.4667,0,1
11824.93,16,0,434,0,19,19,3,8014.08,1.4753,0.95,0,0
7363.53,22,0,888,0,11,18,1,10757.32,0.6844,1.5,0,0
3330.0,14,1,901,0,3,2,0,3473.03,0.9585,0.5,1,0
1215.93,7,0,217,0,15,7,0,1051.73,1.155,0.4375,1,0
27135.47,4,1,612,1,11,8,3,778.61,34.8065,0.6667,0,1
8.86,0,0,14,3,31,4,1,35.53,0.2425,0.125,0,1
415.65,6,0,110,0,7,9,1,1531.06,0.2713,1.125,0,1
3631.31,10,1,538,1,3,6,29,1528.28,2.3745,1.5,0,0
7268.16,20,0,1166,0,33,21,2,6313.44,1.151,0.6176,0,0
3373.89,9,0,371,1,4,7,25,666.53,5.0543,1.4,0,0
3022.48,20,0,546,0,5,4,26,1189.98,2.5378,0.6667,0,0
13520.34,8,0,1376,0,27,12,0,5573.93,2.4252,0.4286,1,0
1256.24,7,0,509,2,11,2,12,1494.19,0.8402,0.1667,0,0
461.16,23,0,639,2,13,5,24,628.93,0.7321,0.3571,0,0
1045.25,7,0,108,0,31,24,2,951.57,1.0973,0.75,0,0
2471.14,6,1,109,2,10,3,24,1830.44,1.3493,0.2727,0,0
1582.96,0,1,195,2,7,3,4,1855.38,0.8527,0.375,0,1
3359.03,11,1,930,0,29,10,3,6385.19,0.526,0.3333,0,0
7752.78,3,0,548,4,11,11,5,75.86,100.8689,0.9167,0,1
1913.32,11,0,482,0,21,7,20,973.89,1.9626,0.3182,0,0
2471.1,12,0,209,1,10,0,27,547.38,4.5062,0.0,0,0
3243.84,15,1,1080,0,10,8,0,4474.38,0.7248,0.7273,1,0
6898.63,16,1,605,0,22,19,2,5002.4,1.3788,0.8261,0,0
5333.73,11,0,665,1,10,0,8,441.37,12.0572,0.0,0,0
4765.05,9,0,190,0,6,11,0,937.07,5.0796,1.5714,1,0
2466.33,2,1,16,0,17,18,1,429.69,5.7265,1.0,0,1
529.72,6,0,31,1,32,21,4,534.69,0.9889,0.6364,0,1
876.69,14,1,657,0,12,6,20,1472.43,0.595,0.4615,0,0
861.44,9,0,642,1,8,4,24,1020.74,0.8431,0.4444,0,0
16544.35,0,0,614,5,14,6,2,882.08,18.7348,0.4,0,1
1733.23,17,0,104,0,8,8,3,367.59,4.7023,0.8889,0,0
2594.67,22,0,478,0,12,17,10,927.46,2.7946,1.3077,0,0
3287.62,14,0,153,0,13,4,28,1627.24,2.0191,0.2857,0,0
4349.56,20,0,488,1,4,5,3,462.03,9.3937,1.0,0,0
9122.98,21,0,213,3,8,6,0,286.45,31.7376,0.6667,1,1
7203.11,19,0,717,0,16,25,0,5557.49,1.2959,1.4706,1,0
1776.07,8,0,777,0,10,8,0,3986.9,0.4454,0.7273,1,0
2347.61,22,1,427,1,10,5,11,1907.55,1.23,0.4545,0,0
1484.81,12,0,67,0,12,5,6,491.66,3.0139,0.3846,0,0
3026.83,21,0,339,2,10,1,24,1625.15,1.8613,0.0909,0,0
1749.44,16,1,306,0,22,12,1,148.52,11.7004,0.5217,0,0
3000.66,18,1,426,0,8,9,0,1638.88,1.8298,1.0,1,0
4928.65,1,0,63,0,6,8,3,1512.09,3.2573,1.1429,0,1
4908.89,17,0,26,1,1,4,22,606.41,8.0817,2.0,0,0
452.1,3,1,15,2,10,15,5,875.49,0.5158,1.3636,0,1
2717.98,17,0,1241,0,28,23,1,3555.23,0.7643,0.7931,0,0
4691.39,21,1,166,0,13,8,10,760.01,6.1647,0.5714,0,0
1023.24,20,0,243,0,6,7,0,2857.62,0.3579,1.0,1,0
2104.91,4,0,102,0,4,3,1,491.78,4.2715,0.6,0,1
4276.88,20,0,358,2,11,3,26,1461.16,2.925,0.25,0,0
3264.39,19,1,308,1,9,2,8,747.14,4.3633,0.2,0,0
839.12,22,0,597,2,5,3,23,976.69,0.8583,0.5,0,0
5181.02,20,0,359,0,13,5,29,379.45,13.6181,0.3571,0,0
848.32,4,0,23,1,47,30,0,995.71,0.8511,0.625,1,1
4482.3,16,0,239,3,17,7,6,217.04,20.5572,0.3889,0,1
1042.64,20,0,479,0,22,13,4,904.71,1.1512,0.5652,0,0
2161.68,20,0,700,2,7,5,9,1677.06,1.2882,0.625,0,0
2008.98,16,1,235,0,25,11,8,773.53,2.5938,0.4231,0,0
3134.24,2,0,7,3,50,12,1,213.22,14.6309,0.2353,0,1
59.14,9,0,176,0,12,2,13,1499.6,0.0394,0.1538,0,0
1392.93,9,1,221,2,8,3,2,1443.46,0.9643,0.3333,0,0
3931.6,18,0,72,2,0,3,26,1253.81,3.1332,3.0,0,0
1114.81,10,1,240,0,37,22,19,1197.38,0.9303,0.5789,0,0
656.88,10,0,237,0,36,20,0,335.9,1.9498,0.5405,1,0
641.85,12,0,437,0,11,5,6,113.55,5.6032,0.4167,0,0
4374.47,16,0,67,2,4,7,25,1149.59,3.8019,1.4,0,0
4057.56,15,1,956,0,18,13,2,5071.89,0.7999,0.6842,0,0
8410.78,9,1,281,1,18,9,0,224.65,37.2736,0.4737,1,1
4145.57,17,0,88,0,15,11,5,1015.21,4.0794,0.6875,0,1
4678.96,17,1,566,0,4,0,2,1623.26,2.8807,0.0,0,0
4055.87,6,1,656,0,2,2,5,1175.91,3.4462,0.6667,0,0
4366.99,22,0,301,0,7,5,2,639.0,6.8234,0.625,0,1
3831.06,12,0,260,0,11,5,0,3810.96,1.005,0.4167,1,0
3092.54,19,0,968,0,12,10,0,3786.3,0.8166,0.7692,1,0
1968.05,21,0,14,5,16,19,0,106.98,18.2261,1.1176,1,1
1301.91,9,1,86,2,3,5,5,1349.32,0.9641,1.25,0,1
859.89,16,0,1033,0,3,4,0,550.56,1.559,1.0,1,0
3779.98,15,1,111,1,11,7,26,946.86,3.9879,0.5833,0,0
886.94,15,0,619,0,3,1,14,1741.5,0.509,0.25,0,0
1233.6,16,1,385,2,7,5,5,694.9,1.7727,0.625,0,0
1850.7,12,0,317,1,8,1,27,1216.48,1.5201,0.1111,0,0
13637.0,8,0,418,0,35,14,3,9268.3,1.4712,0.3889,0,0
238.82,15,1,1157,0,5,7,0,4965.34,0.0481,1.1667,1,0
1686.98,19,0,30,1,8,4,4,1299.65,1.297,0.4444,0,0
841.69,15,0,116,1,9,6,0,578.36,1.4528,0.6,1,0
3104.48,18,0,409,0,14,1,0,4684.6,0.6626,0.0667,1,0
3761.99,12,0,314,0,12,11,0,141.83,26.3389,0.8462,1,0
3241.93,18,0,96,2,7,7,0,608.19,5.3217,0.875,1,0
26.4,6,0,585,0,10,4,23,185.69,0.1414,0.3636,0,0
1883.5,13,0,18,2,38,16,3,792.58,2.3734,0.4103,0,1
1472.91,13,0,84,0,4,3,19,1718.86,0.8564,0.6,0,0
4944.7,20,0,704,0,3,3,0,1610.81,3.0678,0.75,1,0
1009.92,14,0,150,0,16,5,4,1318.64,0.7653,0.2941,0,0
7981.67,14,0,389,2,15,4,2,428.14,18.5992,0.25,0,1
59.65,6,0,610,2,3,2,19,379.11,0.1569,0.5,0,0
923.22,11,0,278,0,36,16,8,1338.74,0.6891,0.4324,0,0
2.79,16,1,33,0,18,9,3,28.06,0.096,0.4737,0,1
1645.48,8,1,575,0,10,6,0,464.48,3.535,0.5455,1,0
11706.26,9,0,1050,0,34,22,1,9804.4,1.1939,0.6286,0,0
866.45,5,1,11,1,47,21,5,595.18,1.4533,0.4375,0,1
296.4,19,0,552,0,33,24,14,1294.11,0.2289,0.7059,0,0
1883.7,19,0,1177,0,14,3,0,545.25,3.4484,0.2,1,0
243.89,14,0,392,0,24,14,8,138.34,1.7503,0.56,0,0
5419.88,15,0,392,1,3,5,4,456.03,11.8589,1.25,0,0
1096.21,22,1,472,0,16,15,7,2131.9,0.514,0.8824,0,0
2597.34,7,0,646,0,0,1,3,1251.97,2.0729,1.0,0,0
1684.13,14,1,565,0,16,16,5,956.56,1.7588,0.9412,0,0
2333.21,9,1,129,2,7,1,1,1417.77,1.6445,0.125,0,1
2087.28,11,0,401,0,21,15,17,1488.7,1.4011,0.6818,0,0
10674.38,13,1,814,0,38,22,1,3613.41,2.9533,0.5641,0,0
2634.77,12,0,96,1,9,10,3,1314.03,2.0036,1.0,0,1
2520.37,9,0,1288,0,27,18,0,3927.35,0.6416,0.6429,1,0
3665.36,8,0,644,2,5,4,14,1409.58,2.5985,0.6667,0,0
2469.77,6,0,78,2,13,5,4,1063.63,2.3198,0.3571,0,0
4325.42,17,1,553,0,23,6,1,7128.88,0.6067,0.25,0,0
367.65,17,0,231,2,13,10,2,870.33,0.4219,0.7143,0,1
343.29,13,0,368,1,4,3,18,536.26,0.639,0.6,0,0
477.82,19,0,74,1,9,9,0,507.45,0.9398,0.9,1,1
4121.02,11,0,568,0,9,5,29,2067.26,1.9925,0.5,0,0
3551.98,23,0,198,0,13,11,0,1182.54,3.0011,0.7857,1,1
1184.21,5,1,39,2,13,1,2,1052.78,1.1238,0.0714,0,1
2093.56,14,0,635,0,6,9,0,2377.7,0.8801,1.2857,1,0
7180.04,12,0,907,0,42,17,3,5587.14,1.2849,0.3953,0,0
51.86,6,0,312,1,7,5,26,1102.83,0.047,0.625,0,0
571.2,10,0,631,0,3,2,8,1708.11,0.3342,0.5,0,0
2761.85,22,0,148,2,6,11,0,1692.07,1.6313,1.5714,1,1
1674.11,21,1,89,2,21,6,4,425.32,3.9269,0.2727,0,1
433.95,14,0,335,0,19,6,17,1557.96,0.2784,0.3,0,0
2191.55,17,1,883,0,17,7,1,7643.93,0.2867,0.3889,0,0
2479.17,18,0,134,1,7,7,3,1408.86,1.7585,0.875,0,0
2823.39,21,1,164,0,8,10,1,1258.09,2.2424,1.1111,0,1
2014.24,23,0,27,0,4,6,5,662.54,3.0356,1.2,0,1
13342.96,11,0,797,0,28,18,3,4452.34,2.9962,0.6207,0,0
2.65,18,0,13,0,25,5,3,23.02,0.1103,0.1923,0,1
184.65,9,0,25,2,5,4,4,1665.08,0.1108,0.6667,0,0
1102.93,10,1,399,0,23,23,10,738.71,1.491,0.9583,0,0
3213.72,15,0,243,1,13,7,14,201.27,15.8883,0.5,0,0
2.12,20,0,13,0,29,9,1,40.77,0.0508,0.3,0,1
2853.63,9,0,264,0,7,6,0,2695.18,1.0584,0.75,1,0
4084.95,11,1,373,0,11,3,0,1780.34,2.2932,0.25,1,0
3328.34,13,1,152,1,12,5,3,1839.35,1.8085,0.3846,0,0
1757.09,20,0,602,0,8,1,23,1743.07,1.0075,0.1111,0,0
556.33,9,0,399,0,21,18,12,672.31,0.8263,0.8182,0,0
3008.33,13,1,100,2,14,7,3,591.36,5.0786,0.4667,0,1
13092.36,14,0,614,0,12,24,0,6941.58,1.8858,1.8462,1,0
4344.64,8,0,39,2,7,6,10,970.06,4.4741,0.75,0,0
2749.69,10,1,569,1,7,4,13,1720.29,1.5975,0.5,0,0
2503.68,11,0,345,2,8,5,20,1730.05,1.4463,0.5556,0,0
2039.56,20,0,465,0,25,10,9,1158.57,1.7589,0.3846,0,0
7367.65,4,0,616,3,13,10,3,252.07,29.1131,0.7143,0,1
8052.09,19,0,249,1,15,5,3,431.62,18.6124,0.3125,0,1
1472.64,0,0,198,1,5,1,5,978.04,1.5042,0.1667,0,0
3262.12,15,1,431,2,1,7,2,242.49,13.3973,3.5,0,0
2775.59,17,1,246,0,12,3,0,2113.09,1.3129,0.2308,1,0
3900.16,20,1,648,0,5,6,0,3723.56,1.0471,1.0,1,0
2724.74,19,0,101,2,9,2,1,838.15,3.247,0.2,0,1
2313.92,16,0,560,0,0,2,6,668.48,3.4563,2.0,0,0
13264.42,23,1,633,0,16,5,3,4733.95,2.8014,0.2941,0,0
2109.49,8,0,493,0,11,11,0,5091.02,0.4143,0.9167,1,0
543.7,19,0,231,0,8,7,0,2220.93,0.2447,0.7778,1,0
7.35,21,0,14,4,29,12,2,25.01,0.2826,0.4,0,1
1294.14,16,0,211,0,28,12,2,208.46,6.1785,0.4138,0,0
4055.58,18,0,39,2,10,1,30,200.81,20.096,0.0909,0,0
10073.53,14,0,1126,0,40,23,2,9766.47,1.0313,0.561,0,0
1939.91,17,1,209,1,16,2,0,704.78,2.7486,0.1176,1,1
1189.9,23,0,205,2,2,3,0,871.74,1.3634,1.0,1,0
639.07,7,0,441,0,23,22,14,317.57,2.0061,0.9167,0,0
4018.96,18,0,666,0,1,11,0,1289.36,3.1146,5.5,1,0
3028.39,12,0,1033,0,13,4,0,3273.29,0.9249,0.2857,1,0
1315.63,10,0,58,0,14,10,3,2070.53,0.6351,0.6667,0,0
3860.09,18,0,1107,0,13,7,0,512.23,7.5212,0.5,1,0
2195.4,17,0,50,2,8,5,0,354.25,6.1799,0.5556,1,0
1823.65,7,1,323,2,12,6,2,1836.07,0.9927,0.4615,0,0
2571.26,11,0,404,0,11,3,19,193.34,13.2307,0.25,0,0
2507.58,14,0,494,0,21,11,7,639.37,3.9158,0.5,0,0
40255.7,0,1,198,2,17,6,1,947.5,42.4414,0.3333,0,1
2293.16,8,0,578,2,9,3,21,724.06,3.1627,0.3,0,0
833.51,17,0,420,0,14,6,0,3104.12,0.2684,0.4,1,0
1393.04,20,0,527,1,11,7,1,199.96,6.9319,0.5833,0,0
378.15,4,1,44,0,7,2,6,560.83,0.6731,0.25,0,1
797.55,23,1,306,1,4,1,5,900.13,0.8851,0.2,0,0
5808.61,8,1,1323,0,39,5,0,4613.05,1.2589,0.125,1,0
1597.34,13,1,113,0,25,19,8,1256.59,1.2702,0.7308,0,0
3383.22,7,1,588,0,1,6,14,754.8,4.4763,3.0,0,0
2019.68,9,1,198,0,10,3,19,524.47,3.8436,0.2727,0,0
1153.96,8,1,1054,0,1,9,0,649.27,1.7746,4.5,1,0
2800.98,12,0,400,0,19,6,12,1333.34,2.0992,0.3,0,0
8834.29,15,1,1041,0,33,6,1,4078.8,2.1654,0.1765,0,0
660.52,21,0,1078,0,3,8,0,1636.58,0.4034,2.0,1,0
5008.45,15,1,38,0,6,3,15,1051.07,4.7606,0.4286,0,0
8745.64,13,1,70,1,9,4,0,135.36,64.1364,0.4,1,1
2975.0,22,0,92,0,4,5,21,1980.07,1.5017,1.0,0,0
